,DESPAIR,JOY,MEH,,total_response,likeness,indifference,dislikeness,Chocolate,colors,shapes
Blue M&M's,120,1018,595,727,2460,0.4138211382113821,0.241869918699187,0.04878048780487805,Yes,#543210,^
Junior Mints,246,1020,496,698,2460,0.4146341463414634,0.2016260162601626,0.1,Yes,#543210,^
Mars,122,1026,587,725,2460,0.4170731707317073,0.2386178861788618,0.04959349593495935,Yes,#543210,^
Three Musketeers,176,1058,518,708,2460,0.4300813008130081,0.2105691056910569,0.07154471544715447,Yes,#543210,^
Heath Bar,213,1069,466,712,2460,0.4345528455284553,0.18943089430894308,0.08658536585365853,Yes,#543210,^
Hershey's Dark Chocolate,175,1105,507,673,2460,0.4491869918699187,0.20609756097560974,0.07113821138211382,Yes,#543210,^
York Peppermint Patties,232,1105,418,705,2460,0.4491869918699187,0.16991869918699187,0.0943089430894309,Yes,#543210,^
Regular M&Ms,75,1122,588,675,2460,0.4560975609756098,0.23902439024390243,0.03048780487804878,Yes,#543210,^
Reese's Pieces,168,1136,465,691,2460,0.46178861788617886,0.18902439024390244,0.06829268292682927,Yes,#543210,^
Rolos,140,1151,455,714,2460,0.4678861788617886,0.18495934959349594,0.056910569105691054,Yes,#543210,^
Dove Bars,108,1176,474,702,2460,0.47804878048780486,0.1926829268292683,0.04390243902439024,Yes,#543210,^
Butterfinger,141,1177,460,682,2460,0.47845528455284553,0.18699186991869918,0.05731707317073171,Yes,#543210,^
Milky Way,102,1185,485,688,2460,0.4817073170731707,0.19715447154471544,0.041463414634146344,Yes,#543210,^
Nestle Crunch,102,1188,472,698,2460,0.48292682926829267,0.191869918699187,0.041463414634146344,Yes,#543210,^
Lindt Truffle,98,1277,367,718,2460,0.5191056910569106,0.1491869918699187,0.03983739837398374,Yes,#543210,^
Peanut M&MÕs,121,1291,377,671,2460,0.5247967479674797,0.1532520325203252,0.0491869918699187,Yes,#543210,^
Tolberone something or other,84,1320,350,706,2460,0.5365853658536586,0.14227642276422764,0.03414634146341464,Yes,#543210,^
Snickers,79,1399,292,690,2460,0.5686991869918699,0.11869918699186992,0.03211382113821138,Yes,#543210,^
Twix,71,1413,286,690,2460,0.574390243902439,0.11626016260162601,0.02886178861788618,Yes,#543210,^
Kit Kat,52,1447,287,674,2460,0.5882113821138212,0.11666666666666667,0.02113821138211382,Yes,#543210,^
ReeseÕs Peanut Butter Cups,95,1498,188,679,2460,0.6089430894308943,0.07642276422764227,0.03861788617886179,Yes,#543210,^
Any full-sized candy bar,17,1559,212,672,2460,0.633739837398374,0.08617886178861789,0.006910569105691057,Yes,#543210,^
